technique,image_id,original_bytes,processed_bytes,compression_ratio
Baseline_NoOp,101328_39_1.jpg,16787,16787,1.000000
Baseline_NoOp,101328_39_2.jpg,16787,16787,1.000000
Baseline_NoOp,101328_39_3.jpg,16787,16787,1.000000
Baseline_NoOp,101357_53_1.jpg,14373,14373,1.000000
Baseline_NoOp,101357_53_2.jpg,14373,14373,1.000000
Baseline_NoOp,101357_53_3.jpg,14373,14373,1.000000
Baseline_NoOp,101357_53_4.jpg,14373,14373,1.000000
Baseline_NoOp,101369_47_1.jpg,15777,15777,1.000000
Baseline_NoOp,101369_47_2.jpg,15777,15777,1.000000
Baseline_NoOp,101369_47_3.jpg,15777,15777,1.000000
Baseline_NoOp,101369_47_4.jpg,15777,15777,1.000000
Baseline_NoOp,101476_95_1.jpg,21780,21780,1.000000
Baseline_NoOp,101476_95_2.jpg,21780,21780,1.000000
Baseline_NoOp,101476_95_3.jpg,21780,21780,1.000000
Baseline_NoOp,101476_95_4.jpg,21780,21780,1.000000
Baseline_NoOp,101476_95_5.jpg,21780,21780,1.000000
Baseline_NoOp,101491_52_1.jpg,16740,16740,1.000000
Baseline_NoOp,101491_52_2.jpg,16740,16740,1.000000
Baseline_NoOp,101491_52_all.jpg,16740,16740,1.000000
Baseline_NoOp,1014_48_1.jpg,22944,22944,1.000000
Baseline_NoOp,1014_48_2.jpg,22944,22944,1.000000
Baseline_NoOp,1014_48_3.jpg,22944,22944,1.000000
Baseline_NoOp,1014_48_4.jpg,22944,22944,1.000000
Baseline_NoOp,1014_48_5.jpg,22944,22944,1.000000
Baseline_NoOp,101522_60_1.jpg,18723,18723,1.000000
Baseline_NoOp,101552_7_1.jpg,20423,20423,1.000000
Baseline_NoOp,101552_7_2.jpg,20423,20423,1.000000
Baseline_NoOp,101552_7_3.jpg,20423,20423,1.000000
Baseline_NoOp,101552_7_4.jpg,20423,20423,1.000000
Baseline_NoOp,101571_90_1.jpg,24736,24736,1.000000
Baseline_NoOp,10161_79_1.jpg,16965,16965,1.000000
Baseline_NoOp,10161_79_2.jpg,16965,16965,1.000000
Baseline_NoOp,10161_79_3.jpg,16965,16965,1.000000
Baseline_NoOp,101646_97_1.jpg,19073,19073,1.000000
Baseline_NoOp,101646_97_2.jpg,19073,19073,1.000000
