technique,image_id,original_pixels_w,original_pixels_h,processed_pixels_w,processed_pixels_h,processed_pixels_total,payload_image_count,original_binary_bytes,processed_binary_bytes,compression_ratio,base64_chars_total,base64_bytes_utf8_total,data_url_bytes_utf8_total,json_bytes_utf8
Baseline_NoOp,100581_5_1.jpg,224,224,224,224,50176,1,17579,17579,1.000000,23440,23440,23463,25229
Baseline_NoOp,100581_5_2.jpg,224,224,224,224,50176,1,17579,17579,1.000000,23440,23440,23463,25229
Baseline_NoOp,100581_5_3.jpg,224,224,224,224,50176,1,17579,17579,1.000000,23440,23440,23463,25229
Baseline_NoOp,100581_5_4.jpg,224,224,224,224,50176,1,17579,17579,1.000000,23440,23440,23463,25229
Baseline_NoOp,100599_17_1.jpg,224,224,224,224,50176,1,15624,15624,1.000000,20832,20832,20855,22606
Baseline_NoOp,100599_17_2.jpg,224,224,224,224,50176,1,15624,15624,1.000000,20832,20832,20855,22606
Baseline_NoOp,100599_17_3.jpg,224,224,224,224,50176,1,15624,15624,1.000000,20832,20832,20855,22606
Baseline_NoOp,100599_17_4.jpg,224,224,224,224,50176,1,15624,15624,1.000000,20832,20832,20855,22606
Baseline_NoOp,100603_64_1.jpg,224,224,224,224,50176,1,20782,20782,1.000000,27712,27712,27735,29936
Baseline_NoOp,100603_64_2.jpg,224,224,224,224,50176,1,20782,20782,1.000000,27712,27712,27735,29936
Baseline_NoOp,100603_64_3.jpg,224,224,224,224,50176,1,20782,20782,1.000000,27712,27712,27735,29936
Baseline_NoOp,100603_64_4.jpg,224,224,224,224,50176,1,20782,20782,1.000000,27712,27712,27735,29936
Baseline_NoOp,100603_64_5.jpg,224,224,224,224,50176,1,20782,20782,1.000000,27712,27712,27735,29936
Baseline_NoOp,100603_64_6.jpg,224,224,224,224,50176,1,20782,20782,1.000000,27712,27712,27735,29936
Baseline_NoOp,100638_45_1.jpg,224,224,224,224,50176,1,13629,13629,1.000000,18172,18172,18195,20056
Baseline_NoOp,100638_45_2.jpg,224,224,224,224,50176,1,13629,13629,1.000000,18172,18172,18195,20056
Baseline_NoOp,100638_45_3.jpg,224,224,224,224,50176,1,13629,13629,1.000000,18172,18172,18195,20056
Baseline_NoOp,100638_45_4.jpg,224,224,224,224,50176,1,13629,13629,1.000000,18172,18172,18195,20056
Baseline_NoOp,100638_45_5.jpg,224,224,224,224,50176,1,13629,13629,1.000000,18172,18172,18195,20056
Baseline_NoOp,100667_80_1.jpg,224,224,224,224,50176,1,19884,19884,1.000000,26512,26512,26535,29171
Baseline_NoOp,100667_80_all.jpg,224,224,224,224,50176,1,19884,19884,1.000000,26512,26512,26535,29171
Baseline_NoOp,100668_102_1.jpg,224,224,224,224,50176,1,24575,24575,1.000000,32768,32768,32791,35597
Baseline_NoOp,100668_102_2.jpg,224,224,224,224,50176,1,24575,24575,1.000000,32768,32768,32791,35597
Baseline_NoOp,100668_102_3.jpg,224,224,224,224,50176,1,24575,24575,1.000000,32768,32768,32791,35597
Baseline_NoOp,100668_102_all.jpg,224,224,224,224,50176,1,24575,24575,1.000000,32768,32768,32791,35597
Baseline_NoOp,100669_8_1.jpg,224,224,224,224,50176,1,21343,21343,1.000000,28460,28460,28483,30889
Baseline_NoOp,100669_8_2.jpg,224,224,224,224,50176,1,21343,21343,1.000000,28460,28460,28483,30889
Baseline_NoOp,100669_8_3.jpg,224,224,224,224,50176,1,21343,21343,1.000000,28460,28460,28483,30889
Baseline_NoOp,100669_8_4.jpg,224,224,224,224,50176,1,21343,21343,1.000000,28460,28460,28483,30889
Baseline_NoOp,100753_70_1.jpg,224,224,224,224,50176,1,22218,22218,1.000000,29624,29624,29647,32203
Baseline_NoOp,100753_70_2.jpg,224,224,224,224,50176,1,22218,22218,1.000000,29624,29624,29647,32203
Baseline_NoOp,100753_70_all.jpg,224,224,224,224,50176,1,22218,22218,1.000000,29624,29624,29647,32203
Baseline_NoOp,100817_21_1.jpg,224,224,224,224,50176,1,21809,21809,1.000000,29080,29080,29103,31709
Baseline_NoOp,100817_21_2.jpg,224,224,224,224,50176,1,21809,21809,1.000000,29080,29080,29103,31709
Baseline_NoOp,100817_21_3.jpg,224,224,224,224,50176,1,21809,21809,1.000000,29080,29080,29103,31709
Baseline_NoOp,100817_21_4.jpg,224,224,224,224,50176,1,21809,21809,1.000000,29080,29080,29103,31709
Baseline_NoOp,10082_58_1.jpg,224,224,224,224,50176,1,17179,17179,1.000000,22908,22908,22931,24787
Baseline_NoOp,10082_58_2.jpg,224,224,224,224,50176,1,17179,17179,1.000000,22908,22908,22931,24787
Baseline_NoOp,10082_58_3.jpg,224,224,224,224,50176,1,17179,17179,1.000000,22908,22908,22931,24787
Baseline_NoOp,10082_58_4.jpg,224,224,224,224,50176,1,17179,17179,1.000000,22908,22908,22931,24787
Baseline_NoOp,10082_58_5.jpg,224,224,224,224,50176,1,17179,17179,1.000000,22908,22908,22931,24787
Baseline_NoOp,10082_58_6.jpg,224,224,224,224,50176,1,17179,17179,1.000000,22908,22908,22931,24787
Baseline_NoOp,100836_35_1.jpg,224,224,224,224,50176,1,25970,25970,1.000000,34628,34628,34651,37322
Baseline_NoOp,100836_35_2.jpg,224,224,224,224,50176,1,25970,25970,1.000000,34628,34628,34651,37322
Baseline_NoOp,100836_35_3.jpg,224,224,224,224,50176,1,25970,25970,1.000000,34628,34628,34651,37322
Baseline_NoOp,100836_35_all.jpg,224,224,224,224,50176,1,25970,25970,1.000000,34628,34628,34651,37322
Baseline_NoOp,100850_14_1.jpg,224,224,224,224,50176,1,20364,20364,1.000000,27152,27152,27175,29711
Baseline_NoOp,100850_14_2.jpg,224,224,224,224,50176,1,20364,20364,1.000000,27152,27152,27175,29711
Baseline_NoOp,100850_14_3.jpg,224,224,224,224,50176,1,20364,20364,1.000000,27152,27152,27175,29711
Baseline_NoOp,100850_14_4.jpg,224,224,224,224,50176,1,20364,20364,1.000000,27152,27152,27175,29711
Baseline_NoOp,100850_14_5.jpg,224,224,224,224,50176,1,20364,20364,1.000000,27152,27152,27175,29711
Baseline_NoOp,100850_14_6.jpg,224,224,224,224,50176,1,20364,20364,1.000000,27152,27152,27175,29711
Baseline_NoOp,100850_14_7.jpg,224,224,224,224,50176,1,20364,20364,1.000000,27152,27152,27175,29711
Baseline_NoOp,100896_17_1.jpg,224,224,224,224,50176,1,23312,23312,1.000000,31084,31084,31107,33818
Baseline_NoOp,100896_17_2.jpg,224,224,224,224,50176,1,23312,23312,1.000000,31084,31084,31107,33818
Baseline_NoOp,100896_17_3.jpg,224,224,224,224,50176,1,23312,23312,1.000000,31084,31084,31107,33818
Baseline_NoOp,100896_17_4.jpg,224,224,224,224,50176,1,23312,23312,1.000000,31084,31084,31107,33818
Baseline_NoOp,100896_17_5.jpg,224,224,224,224,50176,1,23312,23312,1.000000,31084,31084,31107,33818
Baseline_NoOp,10094_43_1.jpg,224,224,224,224,50176,1,22380,22380,1.000000,29840,29840,29863,32739
Baseline_NoOp,10094_43_2.jpg,224,224,224,224,50176,1,22380,22380,1.000000,29840,29840,29863,32739
Baseline_NoOp,10094_43_3.jpg,224,224,224,224,50176,1,22380,22380,1.000000,29840,29840,29863,32739
Baseline_NoOp,100990_6_1.jpg,224,224,224,224,50176,1,19849,19849,1.000000,26468,26468,26491,29047
Baseline_NoOp,100990_6_2.jpg,224,224,224,224,50176,1,19849,19849,1.000000,26468,26468,26491,29047
Baseline_NoOp,100990_6_3.jpg,224,224,224,224,50176,1,19849,19849,1.000000,26468,26468,26491,29047
Baseline_NoOp,100990_6_4.jpg,224,224,224,224,50176,1,19849,19849,1.000000,26468,26468,26491,29047
Baseline_NoOp,100990_6_5.jpg,224,224,224,224,50176,1,19849,19849,1.000000,26468,26468,26491,29047
Baseline_NoOp,100990_6_6.jpg,224,224,224,224,50176,1,19849,19849,1.000000,26468,26468,26491,29047
Baseline_NoOp,101038_36_1.jpg,224,224,224,224,50176,1,22717,22717,1.000000,30292,30292,30315,33261
Baseline_NoOp,101038_36_2.jpg,224,224,224,224,50176,1,22717,22717,1.000000,30292,30292,30315,33261
Baseline_NoOp,101038_36_3.jpg,224,224,224,224,50176,1,22717,22717,1.000000,30292,30292,30315,33261
Baseline_NoOp,101038_36_all.jpg,224,224,224,224,50176,1,22717,22717,1.000000,30292,30292,30315,33261
Baseline_NoOp,10104_17_1.jpg,224,224,224,224,50176,1,18603,18603,1.000000,24804,24804,24827,27018
Baseline_NoOp,10104_17_2.jpg,224,224,224,224,50176,1,18603,18603,1.000000,24804,24804,24827,27018
Baseline_NoOp,10104_17_3.jpg,224,224,224,224,50176,1,18603,18603,1.000000,24804,24804,24827,27018
Baseline_NoOp,101065_21_1.jpg,224,224,224,224,50176,1,24138,24138,1.000000,32184,32184,32207,34533
Baseline_NoOp,101065_21_2.jpg,224,224,224,224,50176,1,24138,24138,1.000000,32184,32184,32207,34533
Baseline_NoOp,101090_74_1.jpg,224,224,224,224,50176,1,17657,17657,1.000000,23544,23544,23567,25983
Baseline_NoOp,101090_74_2.jpg,224,224,224,224,50176,1,17657,17657,1.000000,23544,23544,23567,25983
Baseline_NoOp,101090_74_3.jpg,224,224,224,224,50176,1,17657,17657,1.000000,23544,23544,23567,25983
Baseline_NoOp,101090_74_4.jpg,224,224,224,224,50176,1,17657,17657,1.000000,23544,23544,23567,25983
Baseline_NoOp,101090_74_5.jpg,224,224,224,224,50176,1,17657,17657,1.000000,23544,23544,23567,25983
Baseline_NoOp,101223_39_1.jpg,224,224,224,224,50176,1,15445,15445,1.000000,20596,20596,20619,22180
Baseline_NoOp,101223_39_2.jpg,224,224,224,224,50176,1,15445,15445,1.000000,20596,20596,20619,22180
Baseline_NoOp,101223_39_all.jpg,224,224,224,224,50176,1,15445,15445,1.000000,20596,20596,20619,22180
Baseline_NoOp,101252_33_1.jpg,224,224,224,224,50176,1,23067,23067,1.000000,30756,30756,30779,32880
Baseline_NoOp,101252_33_3.jpg,224,224,224,224,50176,1,23067,23067,1.000000,30756,30756,30779,32880
Baseline_NoOp,101252_33_4.jpg,224,224,224,224,50176,1,23067,23067,1.000000,30756,30756,30779,32880
Baseline_NoOp,101252_33_5.jpg,224,224,224,224,50176,1,23067,23067,1.000000,30756,30756,30779,32880
Baseline_NoOp,101252_33_6.jpg,224,224,224,224,50176,1,23067,23067,1.000000,30756,30756,30779,32880
Baseline_NoOp,101304_9_1.jpg,224,224,224,224,50176,1,15640,15640,1.000000,20856,20856,20879,22600
Baseline_NoOp,101304_9_2.jpg,224,224,224,224,50176,1,15640,15640,1.000000,20856,20856,20879,22600
Baseline_NoOp,101304_9_all.jpg,224,224,224,224,50176,1,15640,15640,1.000000,20856,20856,20879,22600
